城市,月份,住宅类型,面积段,环比,同比,定基,累计平均,来源URL
济南,2024-01,新建商品住宅,90m2及以下,99.9,101.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,新建商品住宅,90-144m2,99.8,101.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,新建商品住宅,144m2以上,99.8,102.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,二手住宅,90m2及以下,99.6,95.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,二手住宅,90-144m2,99.9,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
济南,2024-01,二手住宅,144m2以上,99.9,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,新建商品住宅,全部,99.3,98.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,二手住宅,全部,99.2,94.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,新建商品住宅,90m2及以下,99.6,99.4,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,新建商品住宅,90-144m2,99.4,98.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,新建商品住宅,144m2以上,99.1,98.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,二手住宅,90m2及以下,99.7,94.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,二手住宅,90-144m2,98.7,94.6,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
青岛,2024-01,二手住宅,144m2以上,99.2,94.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,新建商品住宅,全部,99.6,97.8,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,二手住宅,全部,99.3,93.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,新建商品住宅,90m2及以下,99.9,98.3,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,新建商品住宅,90-144m2,99.4,97.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,新建商品住宅,144m2以上,99.7,98.9,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,二手住宅,90m2及以下,99.2,92.7,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,二手住宅,90-144m2,99.5,94.1,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
郑州,2024-01,二手住宅,144m2以上,99.4,95.2,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
武汉,2024-01,新建商品住宅,全部,99.4,99.5,,,https://www.stats.gov.cn/sj/zxfb/202402/t20240223_1947806.html
